listing_id,total_reviews,sentiment_positive_ratio,sentiment_neutral_ratio,sentiment_negative_ratio,sentiment_positive_count,sentiment_neutral_count,sentiment_negative_count,average_sentiment_score,total_positive_reviews,intelligent_score
46490109,181,0.9613259668508287,0.027624309392265192,0.011049723756906077,174,5,2,0.8210950276243094,174,0.923124088
46490712,137,0.9708029197080292,0.029197080291970802,0,133,4,0,0.8134788321167884,133,0.926525401
46637145,321,0.9595015576323987,0.037383177570093455,0.003115265,308,12,1,0.7973856697819315,308,0.9149166355140187
46712066,187,0.9518716577540107,0.037433155,0.010695187,178,7,2,0.7786181818181818,178,0.904708449
46771787,148,0.9594594594594594,0.033783783783783786,0.006756757,142,5,1,0.8298905405405405,142,0.9246428378378378
47350542,250,0.944,0.048,0.008,236,12,2,0.7679712000000001,236,0.8967913599999999
47426620,153,0.934640523,0.045751634,0.019607843,143,7,3,0.7568320261437909,143,0.8878339215686274
47432363,170,0.9176470588235294,0.047058823529411764,0.035294118,156,8,6,0.748420588,156,0.8751144117647057
47746603,62,1,0,0,62,0,0,0.8854258064516128,62,0.9656277419354838
47792889,1,1,0,0,1,0,0,0.7836,0,
47833785,106,0.9905660377358491,0.009433962,0,105,1,0,0.8548528301886793,105,0.9507954716981132
47846381,250,0.964,0.016,0.02,241,4,5,0.7900312,241,0.9154093599999998
47857021,253,0.9683794466403162,0.027667984,0.003952569,245,7,1,0.8056794466403162,245,0.9227315019762845
47952428,1,1,0,0,1,0,0,0.9134,0,
48009888,290,0.9689655172413794,0.017241379310344827,0.013793103448275862,281,5,4,0.8485765517241379,281,0.935952276
48064704,1,1,0,0,1,0,0,0.9543,0,
48229920,121,0.9752066115702479,0.016528926,0.008264463,118,2,1,0.7792809917355372,118,0.9189082644628098
48401591,127,0.9763779527559056,0,0.023622047244094488,124,0,3,0.7612614173228346,124,0.9142051968503937
48469712,252,0.9920634920634921,0.003968254,0.003968254,250,1,1,0.8558694444444443,250,0.9519989285714284
49092365,174,0.9942528735632183,0.005747126,0,173,1,0,0.8630827586206896,173,0.9554765517241378
49342072,35,0.9428571428571428,0.028571429,0.028571429,33,1,1,0.8186228571428572,33,0.9113011428571428
49631544,51,1,0,0,51,0,0,0.934064706,51,0.9802194117647058
49735166,2,1,0,0,2,0,0,0.92395,0,
50054456,110,0.9363636363636364,0.063636364,0,103,7,0,0.7505254545454545,103,0.886975818
50194879,284,0.9859154929577465,0.007042254,0.007042254,280,2,2,0.830005986,280,0.9405510915492957
50361582,178,0.9775280898876404,0.011235955056179775,0.011235955056179775,174,2,2,0.8040702247191012,174,0.9277379213483146
50409973,78,0.9102564102564102,0.064102564,0.025641026,71,5,2,0.6820282051282052,71,0.8507623076923077
50497152,94,0.9574468085106383,0.031914893617021274,0.010638297872340425,90,3,1,0.7599787234042553,90,0.9024617021276596
50504321,66,0.9242424242424242,0.075757576,0,61,5,0,0.7534363636363636,61,0.8805763636363635
50562579,31,0.967741935,0.032258065,0,30,1,0,0.7927741935483872,30,0.9184774193548387
50595917,213,0.9812206572769953,0.014084507042253521,0.004694836,209,3,1,0.8752990610328638,209,0.9513221126760563
50873368,56,0.8928571428571429,0.089285714,0.017857142857142856,50,5,1,0.6990624999999999,50,0.8454330357142856
51411999,110,0.9272727272727272,0.036363636,0.036363636,102,4,4,0.8036800000000001,102,0.8974676363636362
51502999,207,0.9806763285024155,0.009661836,0.009661836,203,2,2,0.8397545893719808,203,0.9403321739130435
51584379,56,0.8928571428571429,0.089285714,0.017857142857142856,50,5,1,0.7169928571428572,50,0.8508121428571428
51593238,127,0.9921259842519685,0,0.007874016,126,0,1,0.8568724409448819,126,0.9523373228346456
51655958,164,0.9573170731707317,0.018292682926829267,0.024390243902439025,157,3,4,0.7794097560975609,157,0.9082131707317073
51762105,230,0.9565217391304348,0.034782608695652174,0.008695652,220,8,2,0.7368291304347827,220,0.8949617826086956
51787040,75,0.9866666666666667,0.013333333333333334,0,74,1,0,0.8213413333333334,74,0.9384024
51804660,8,0.875,0,0.125,7,0,1,0.6577875,7,0.82233625
51819107,52,0.9615384615384616,0.038461538461538464,0,50,2,0,0.8280538461538461,50,0.9253392307692306
51824978,57,0.9649122807017544,0.017543859649122806,0.017543859649122806,55,1,1,0.8373526315789472,55,0.9301531578947367
51920623,11,1,0,0,11,0,0,0.840390909,11,0.9521172727272726
51959058,167,0.9760479041916168,0.017964071856287425,0.005988024,163,3,1,0.8335922155688623,163,0.9357064071856288
52004408,14,0.6428571428571429,0.21428571428571427,0.14285714285714285,9,3,2,0.29582857142857144,9,0.5744628571428572
52048336,150,0.9666666666666667,0.013333333333333334,0.02,145,2,3,0.8610266666666666,145,0.9383079999999999
52088183,73,0.9726027397260274,0,0.02739726,71,0,2,0.7995821917808219,71,0.9234363013698629
52173725,41,0.9024390243902439,0.048780488,0.048780488,37,2,2,0.7345,37,0.8618134146341464
52278189,198,0.98989899,0.010101010101010102,0,196,2,0,0.8826247474747475,196,0.9587268181818182
52531373,158,0.9810126582278481,0.012658227848101266,0.006329114,155,2,1,0.8676936708860761,155,0.9489156962025317
52766531,249,0.9799196787148594,0.020080321285140562,0,244,5,0,0.8470124497991969,244,0.9420555421686746
52837864,57,0.9824561403508771,0,0.017543859649122806,56,0,1,0.8303596491228069,56,0.9385815789473683
52904644,115,0.9826086956521739,0.008695652,0.008695652,113,1,1,0.8405078260869565,113,0.9417175652173911
52986682,140,0.95,0.014285714285714285,0.035714286,133,2,5,0.793585,133,0.9080754999999999
53115234,78,0.9358974358974359,0.025641026,0.038461538461538464,73,2,3,0.7187230769230769,73,0.8771553846153846
53150554,46,0.9782608695652174,0.021739130434782608,0,45,1,0,0.8583195652173913,45,0.9444523913043478
53150899,80,0.9875,0.0125,0,79,1,0,0.80202,79,0.933106
53172066,26,1,0,0,26,0,0,0.8573961538461539,26,0.9572188461538461
53173859,37,1,0,0,37,0,0,0.8791081081081081,37,0.9637324324324325
53181906,35,0.8571428571428571,0.028571429,0.11428571428571428,30,1,4,0.62818,30,0.8027397142857142
53232503,20,1,0,0,20,0,0,0.83389,20,0.9501669999999999
53772864,183,0.9672131147540983,0.027322404,0.005464481,177,5,1,0.801324044,177,0.9207250819672131
53974050,8,1,0,0,8,0,0,0.871475,8,0.9614424999999999
54212946,100,0.96,0.02,0.02,96,2,2,0.854444,96,0.9323331999999999
54279622,17,0.9411764705882353,0,0.058823529411764705,16,0,1,0.7412529411764706,16,0.8870817647058823
54325019,17,0.9411764705882353,0.058823529411764705,0,16,1,0,0.7640058823529411,16,0.8939076470588235
54343966,57,1,0,0,57,0,0,0.8352122807017544,57,0.9505636842105262
517985670807426618,85,1,0,0,85,0,0,0.8788458823529413,85,0.9636537647058824
539096747769695721,14,0.9285714285714286,0.071428571,0,13,1,0,0.7375928571428572,13,0.8784207142857142
548300346163700271,29,0.8620689655172413,0.13793103448275862,0,25,4,0,0.7301068965517242,25,0.836273448
550176187392328368,116,0.9913793103448276,0.00862069,0,115,1,0,0.8014232758620691,115,0.9352545689655173
555807954310475283,295,0.9694915254237289,0.016949153,0.013559322033898305,286,5,4,0.8393945762711864,286,0.9335132881355932
